"Worksheet exported from: C:\Users\5110 ICP-OES\Documents\Agilent\ICP Expert\My Results\Background_CRM_JAC.esws"
""
"Label","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration %RSD","Intensity SD","Intensity %RSD","Weight","Volume","Dilution","Internal Standard","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Concentration Replicate 4","Concentration Replicate 5","Concentration Replicate 6","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Intensity Replicate 4","Intensity Replicate 5","Intensity Replicate 6","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3","Flags Replicate 4","Flags Replicate 5","Flags Replicate 6"
"Blank","BLK","8/9/2018 5:00:01 PM","Ar 420.067","Ar","","0.00","0.00","ppm","2264687.81","-","-","20122.56","0.89","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","2296689.16","2256690.26","2248996.22","2246972.59","2282278.76","2256499.87","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","Ar 543.999","Ar","","0.00","0.00","ppm","52225.75","-","-","190.90","0.37","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","52264.80","52183.09","52572.64","52059.57","52224.52","52049.89","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","Ar 641.631","Ar","","0.00","0.00","ppm","1132177.19","-","-","5909.63","0.52","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","1127594.02","1125593.97","1131584.97","1132665.03","1133007.90","1142617.27","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","Ar 703.025","Ar","","0.00","0.00","ppm","2368173.16","-","-","16631.80","0.70","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","2354435.32","2355474.12","2360686.50","2374843.01","2398550.70","2365049.30","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","Ar 737.212","Ar","","0.00","0.00","ppm","3611368.34","-","-","45117.81","1.25","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","3673096.69","3634626.37","3641851.43","3586588.39","3575275.57","3556771.59","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","C 175.122","C","","0.00","0.00","ppm","126.84","-","-","5.20","4.10","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","119.01","126.07","127.06","129.60","134.65","124.64","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","C 193.027","C","","0.00","0.00","ppm","25276.10","-","-","160.13","0.63","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","25221.77","25052.64","25199.88","25270.16","25407.68","25504.48","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","C 247.856","C","","0.00","0.00","ppm","1769.40","-","-","6.55","0.37","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","1764.53","1773.61","1766.36","1760.72","1773.10","1778.06","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","Cd 214.439","Cd","","0.00","0.00","ppm","30.99","-","-","4.50","14.53","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","25.69","27.97","33.26","36.81","34.64","27.55","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","Co 238.892","Co","","0.00","0.00","ppm","21.35","-","-","4.70","22.03","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","21.03","17.29","16.33","27.88","19.46","26.10","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","Cr 267.716","Cr","","0.00","0.00","ppm","35.87","-","-","10.81","30.13","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","47.36","34.69","17.81","35.54","33.14","46.66","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","H 434.047","H","","0.00","0.00","ppm","13002.44","-","-","241.77","1.86","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","13114.54","12772.88","12681.89","13334.30","13120.62","12990.40","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","H 486.133","H","","0.00","0.00","ppm","171936.63","-","-","3294.41","1.92","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","174894.70","176337.39","168293.90","169568.42","173046.30","169479.05","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","N 174.213","N","","0.00","0.00","ppm","64952.68","-","-","102.03","0.16","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","64972.22","64782.64","64881.30","64997.76","65041.17","65041.00","","","","","",""
"Blank","BLK","8/9/2018 5:00:01 PM","N 174.465","N","","0.00","0.00","ppm","19764.30","-","-","87.36","0.44","-","-","-","-","6","0.00","0.00","0.00","0.00","0.00","0.00","19689.96","19731.89","19748.91","19718.09","19761.72","19935.20","","","","","",""
